type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,340400,340800,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,166100,165400,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,132200,155500,0,0,12,0,0,0,0,0,0,0,0,0,18
Work,191700,193900,0,0,54,21,0,0,0,0,0,0,0,0,72
Work,139300,157600,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,237800,238600,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,323900,324600,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,335000,316500,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,193500,196500,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,336100,322300,0,0,21,21,0,0,0,0,0,0,0,0,42
Work,327400,326400,0,0,18,0,0,0,0,0,6,24,0,0,54
Work,130400,141000,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,244900,246300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,144400,126800,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,132000,136200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,175300,177300,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,235600,235200,0,0,78,15,12,0,0,0,0,18,0,0,123
Work,344900,345400,0,0,15,0,0,0,0,0,0,0,0,0,15
Work,334300,334200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,119600,145500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,125500,127400,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,349700,350300,0,0,27,9,0,0,0,0,0,0,0,0,42
Work,153400,154300,0,0,18,0,0,0,0,0,0,0,0,0,18
Work,106600,108800,0,0,6,0,0,0,0,0,0,0,0,0,12
Work,314800,315500,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,246100,245500,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,147100,133200,0,0,6,0,0,0,0,27,0,0,0,0,36
Work,307300,307200,0,0,30,12,0,0,0,0,0,0,0,0,45
Work,349800,350100,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,117600,118600,0,0,174,21,12,9,0,0,0,6,0,0,225
Work,118000,133500,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,158900,136100,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,155200,128700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,228200,228300,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,145800,141800,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,164200,147400,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,309500,309300,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,317300,328400,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,330600,331800,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,184100,184200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,319500,324900,0,0,21,0,0,0,0,0,0,0,0,0,27
Work,362700,361000,0,0,156,15,15,0,0,0,0,0,0,0,192
Work,173200,179800,0,0,69,0,0,0,0,0,0,0,0,0,75
Work,209200,209400,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,106100,106300,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,113400,152300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,334900,316500,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,350300,356200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,155800,116200,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,128100,127100,0,0,6,0,0,0,0,0,0,6,0,0,18
Work,314800,320400,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,130500,128700,0,0,36,0,6,0,0,0,0,0,0,0,51
Work,128300,133200,0,0,18,0,0,0,0,12,0,0,0,0,33
Work,181200,178900,0,0,48,24,0,0,0,0,0,0,0,0,75
Work,135000,132700,0,0,21,0,0,18,0,6,0,0,0,0,51
Work,149400,161700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,131600,147900,0,0,24,0,0,0,0,0,0,0,0,0,39
Work,195400,197300,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,307400,307700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,327500,328100,0,0,36,9,0,0,0,0,0,0,0,0,51
Work,150200,148200,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,111200,133700,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,127000,132700,0,0,15,0,0,18,0,0,0,0,0,0,36
Work,160800,166000,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,123900,119700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,202000,203900,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,150800,152100,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,143400,141000,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,323400,323500,0,0,45,12,0,0,0,0,0,0,0,0,66
Work,105700,107900,0,0,33,21,0,0,0,0,0,0,0,0,54
Work,151400,132400,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,163500,156000,0,0,27,0,0,0,0,0,0,0,0,0,36
Work,320300,325700,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,139300,133500,0,0,9,0,0,6,0,0,0,0,0,0,21
Work,136000,139400,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,169000,168800,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,335000,334200,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,243200,245200,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,328900,316700,0,0,42,0,0,0,0,0,0,0,0,0,51
Work,177000,177900,0,0,15,0,0,0,0,0,0,0,0,0,15
Work,177300,175200,0,0,45,0,0,0,0,0,0,0,0,0,54
Work,179300,177700,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,317700,320600,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,138700,134500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,202600,202800,0,0,84,12,0,0,0,0,6,18,0,0,126
Work,211200,211300,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,351800,353400,0,0,87,15,12,6,0,0,6,0,0,0,132
Work,248400,249100,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,148400,145300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,162400,152700,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,346700,344900,0,0,0,6,0,0,0,0,0,0,0,0,9
Work,313600,322300,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,214600,214900,0,0,12,0,0,0,0,0,0,0,0,0,21
Work,126900,127500,0,0,114,21,12,0,0,0,0,6,0,0,162
Work,240100,252900,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,149900,163200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,216500,216700,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,251500,250700,0,0,27,0,0,18,0,0,9,6,0,0,63
Work,317900,321800,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,173000,175200,0,0,21,0,0,0,0,0,0,0,0,0,24
Work,305600,305900,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,208700,211600,0,0,18,0,0,0,0,0,0,0,0,0,18
Work,203600,202700,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,143300,134400,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,355500,353100,0,0,21,0,0,0,0,0,0,0,0,0,24
Work,326900,331800,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,196900,192800,0,0,21,0,0,0,0,0,0,0,0,0,27
Work,250800,251000,0,0,0,0,0,0,0,0,0,6,0,0,15
Work,215800,215900,0,0,15,0,0,0,0,0,0,0,0,0,24
Work,334100,334700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,334900,326400,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,154800,134100,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,162800,164300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,162400,164500,0,0,6,0,0,0,0,0,0,0,0,0,12
Work,158900,145500,0,0,0,6,0,0,0,0,0,0,0,0,9
Work,201600,200900,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,241400,245100,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,243700,239900,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,244500,244400,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,178100,179800,0,0,66,0,0,0,0,0,0,0,0,0,78
Work,303200,305600,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,180700,179100,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,162700,156000,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,122000,147900,0,0,18,0,0,0,0,0,0,0,0,0,21
Work,152400,152200,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,213300,210300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,361700,363300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,246400,249700,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,163400,156000,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,316600,319100,0,0,30,9,0,0,0,0,0,0,0,0,42
Work,254200,254300,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,120500,129700,0,0,6,0,0,0,0,0,0,0,0,0,12
Work,124800,147700,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,139800,155500,0,0,21,0,0,0,0,0,0,0,0,0,24
Work,302500,302300,0,0,12,6,0,0,0,0,0,0,0,0,18
Work,225200,224700,0,0,57,0,0,0,0,0,0,9,0,0,72
Work,107700,107000,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,165500,150100,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,173300,180600,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,325100,329700,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,136600,134200,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,321700,322300,0,0,24,0,0,0,0,0,0,0,0,0,33
Work,138400,133600,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,151400,138500,0,0,6,0,0,0,0,0,0,0,0,0,15
Work,122300,139200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,143900,133200,0,0,9,0,0,9,0,12,0,0,0,0,33
Work,130900,138500,0,0,30,0,0,0,0,21,0,0,0,0,54
Work,245300,244700,0,0,0,0,0,0,0,0,0,0,0,0,15
Work,144000,134800,0,0,12,0,0,6,0,0,0,0,0,0,24
Work,114400,145500,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,244200,244300,0,0,69,9,6,18,0,0,0,24,0,0,129
Work,322600,322300,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,209700,210300,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,169200,174100,0,0,15,0,0,0,0,0,0,0,0,0,15
Work,169500,190200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,164600,166300,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,118100,116600,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,323600,322500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,335100,330700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,362400,361300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,124600,136400,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,205700,205600,0,0,51,18,0,0,0,0,0,0,0,0,81
Work,241800,244300,0,0,69,0,6,0,0,0,0,0,0,0,87
Work,217600,218600,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,209600,211300,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,343400,344200,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,195900,192800,0,0,36,0,0,0,0,0,0,0,0,0,45
Work,115400,117300,0,0,21,0,0,0,0,0,0,0,0,0,24
Work,134200,133200,0,0,12,0,0,18,0,9,0,0,0,0,48
Work,196900,192100,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,329400,316700,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,335900,326400,0,0,6,0,0,0,0,0,0,0,0,0,12
Work,123000,118600,0,0,36,6,0,0,0,0,0,0,0,0,45
Work,163700,164600,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,358400,358700,0,0,12,0,0,0,0,0,0,0,0,0,18
Work,128200,136400,0,0,24,0,0,6,0,0,0,0,0,0,36
Work,116700,125900,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,178300,175200,0,0,63,15,0,6,0,0,0,0,0,0,90
Work,323700,330200,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,143300,146700,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,193500,193300,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,148100,136100,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,250800,252900,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,147600,136400,0,0,0,0,0,0,0,0,0,0,6,0,6
Work,152200,152300,0,0,126,42,6,0,0,0,0,0,0,0,174
Work,157500,163200,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,178100,172600,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,240200,245700,0,0,6,9,0,0,0,0,0,0,0,0,15
Work,245900,243700,0,0,30,9,0,0,0,0,0,0,0,0,45
Work,256600,256500,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,153500,132700,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,353100,353200,0,0,0,0,0,0,0,0,0,36,0,0,42
Work,165200,133300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,127800,118800,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,112100,123500,0,0,12,6,0,0,0,0,0,0,0,0,18
Work,331400,327100,0,0,39,0,0,0,0,0,6,0,0,0,57
Work,154800,135300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,231700,229300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,335300,335100,0,0,36,0,0,0,0,0,0,0,0,0,48
Work,197400,191900,0,0,6,6,0,0,0,0,0,0,0,0,12
Work,221600,220800,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,132500,136400,0,0,18,0,0,0,0,0,0,0,0,0,18
Work,214700,213700,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,148400,152400,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,147600,144600,0,0,90,12,21,6,0,0,0,0,0,6,147
Work,141600,144200,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,113300,136400,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,320200,319200,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,118700,133200,0,0,9,0,0,9,0,0,0,0,0,0,18
Work,251600,244300,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,324500,329700,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,177000,177300,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,134400,147900,0,0,27,0,0,0,0,0,0,0,0,6,39
Work,147200,156000,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,328600,331800,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,156300,157600,0,0,21,6,0,0,0,0,0,0,0,0,30
Work,342300,340600,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,353600,354200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,214000,208500,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,142200,145400,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,147100,147200,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,159400,163200,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,145900,157600,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,127300,126800,0,0,21,0,0,9,0,0,0,0,0,0,36
Work,154000,125100,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,150500,118600,0,0,6,0,0,0,0,0,0,0,0,0,12
Work,131300,118600,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,171100,171200,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,149700,148100,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,165100,157600,0,0,21,12,0,0,0,0,0,0,0,0,30
Work,121100,127200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,110400,111700,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,143900,134800,0,0,6,0,0,6,0,0,0,0,0,0,18
Work,146100,147700,0,0,21,0,0,0,0,0,0,0,0,0,27
Work,116900,118500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,327200,322300,0,0,36,15,0,0,0,0,0,0,0,0,54
Work,141800,132400,0,0,24,0,0,18,0,0,9,0,0,0,60
Work,145300,154600,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,361000,362500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,127000,155500,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,331000,328800,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,152400,136000,0,0,9,9,0,0,0,0,0,0,0,0,18
Work,143100,145400,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,355600,355300,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,213000,213100,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,138300,133200,0,0,27,0,0,27,0,0,0,0,0,0,63
Work,139000,138100,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,129100,129500,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,165400,133300,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,123700,120500,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,336700,337300,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,126200,138500,0,0,27,9,0,0,0,0,0,0,0,0,39
Work,211400,210500,0,0,57,12,0,0,0,0,0,0,0,0,78
Work,240000,250700,0,0,18,6,0,0,0,30,0,0,0,0,51
Work,163600,166000,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,120800,144200,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,144300,152700,0,0,24,0,0,0,0,0,0,0,0,0,24
Work,191800,194800,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,127300,132700,0,0,12,0,0,12,0,0,0,0,0,0,30
Work,154800,162200,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,126200,147700,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,223400,225400,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,319500,321000,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,116100,115000,0,0,54,6,0,0,0,0,0,0,0,0,66
Work,333200,333300,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,164600,161700,0,0,12,0,0,0,0,0,0,0,0,0,18
Work,334900,336000,0,0,30,0,0,0,0,0,0,0,0,0,30
Work,344200,343400,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,142800,134300,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,149000,140300,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,193600,194800,0,0,39,6,0,0,0,0,0,0,0,0,54
Work,137200,132700,0,0,18,0,0,12,0,0,0,0,0,0,36
Work,132100,125100,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,130800,133900,0,0,24,6,0,0,0,6,0,0,0,0,45
Work,144400,134300,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,246600,244000,0,0,21,9,0,0,0,0,0,0,0,0,33
Work,359900,359600,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,187000,187400,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,139600,133200,0,0,21,0,0,21,0,0,0,0,0,0,51
Work,170200,166200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,139800,145900,0,0,63,12,0,0,0,0,0,0,0,0,78
Work,209400,209900,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,334600,320000,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,218300,219500,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,198400,198900,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,255700,255800,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,236800,238000,0,0,18,0,0,0,0,0,0,0,0,0,21
Work,137200,118600,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,155400,143300,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,130900,131500,0,0,18,0,0,0,0,0,0,0,0,0,27
Work,134600,128700,0,0,21,15,0,0,0,0,0,0,0,0,39
Work,178800,180700,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,103500,103900,0,0,21,0,0,0,0,0,0,0,0,0,27
Work,223800,223700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,246000,247100,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,179100,175200,0,0,57,0,0,0,0,0,0,0,0,0,66
Work,158700,132700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,251200,255000,0,0,6,0,0,0,0,0,0,0,0,0,12
Work,241300,250700,0,0,12,0,0,0,0,12,0,0,0,0,30
Work,324000,324200,0,0,18,0,0,0,0,0,0,0,0,0,21
Work,331500,325500,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,246300,245700,0,0,24,9,0,0,0,0,0,0,0,0,33
Work,113200,125100,0,0,15,6,0,0,0,0,0,0,0,0,21
Work,329200,322300,0,0,21,12,0,0,0,0,0,0,0,0,36
Work,177400,179300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,317100,317300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,200900,200400,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,199900,201300,0,0,18,0,0,0,0,0,0,0,0,0,24
Work,131000,147700,0,0,12,0,0,0,0,0,0,0,0,0,21
Work,127000,126600,0,0,24,0,0,0,0,0,0,0,0,0,30
Work,122600,134500,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,352500,349900,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,155900,147900,0,0,117,6,9,9,0,0,0,0,0,0,144
Work,141800,152300,0,0,36,9,0,0,0,0,0,0,0,0,48
Work,315800,325500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,132500,140300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,323400,322100,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,159000,143300,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,147000,145300,0,0,15,0,0,0,0,0,0,0,0,0,21
Work,125600,136400,0,0,15,0,0,0,0,0,0,0,0,0,18
Work,121000,133700,0,0,6,0,0,12,0,0,0,0,0,0,18
Work,189200,189700,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,102400,103900,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,140800,137800,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,249400,254900,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,193400,191200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,160500,159700,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,254700,251600,0,0,18,0,0,15,0,0,9,0,0,0,48
Work,142700,142200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,161100,163200,0,0,18,0,0,0,0,0,0,0,0,0,21
Work,118000,124700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,248000,253000,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,152100,146800,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,132900,136400,0,0,15,0,0,0,0,6,0,0,0,0,21
Work,323900,317700,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,318500,321200,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,113100,132400,0,0,12,0,0,9,0,0,0,0,0,0,24
Work,185300,187400,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,213100,210400,0,0,12,0,0,0,0,0,0,0,0,0,15
Work,151600,142200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,136100,134100,0,0,0,0,0,0,0,0,0,9,0,0,15
Work,161900,162000,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,305300,304700,0,0,132,21,6,0,0,0,39,171,0,9,378
Work,127300,136100,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,178700,177300,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,153000,150100,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,153700,145400,0,0,18,0,0,0,0,0,0,0,0,0,18
Work,244700,245000,0,0,12,6,0,0,0,0,0,15,0,0,36
Work,230300,229800,0,0,63,0,0,0,0,0,0,0,0,0,78
Work,354000,350400,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,124700,136000,0,0,0,0,0,0,0,0,0,0,0,0,12
Work,160400,160800,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,354000,351400,0,0,27,6,0,0,0,0,0,0,0,0,39
Work,129800,134100,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,249400,244300,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,307700,307100,0,0,15,0,0,0,0,0,0,0,0,0,15
Work,199000,201200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,160900,159700,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,251600,252300,0,0,0,0,0,0,0,0,0,9,0,0,9
Work,130900,149600,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,140500,134500,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,323100,326400,0,0,24,6,0,0,0,0,0,0,0,0,36
Work,217100,216600,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,161800,163200,0,0,42,9,0,0,0,0,0,0,0,0,60
Work,328400,329200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,361600,363100,0,0,30,0,12,0,0,0,0,0,0,0,48
Work,317900,324800,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,136600,133500,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,148700,144200,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,155000,163200,0,0,6,0,0,0,0,0,0,0,0,0,6
Work,207100,205800,0,0,12,0,0,0,0,0,0,0,0,0,12
Work,190600,192000,0,0,9,0,0,0,0,0,0,0,0,0,15
Work,175900,175200,0,0,141,42,0,0,0,0,0,0,0,0,195
Work,212300,213200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,239600,250700,0,0,12,0,0,0,0,18,0,0,0,0,36
Work,142100,134200,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,255800,255400,0,0,0,0,0,0,0,0,0,0,0,0,9
Work,309400,309500,0,0,12,15,30,0,0,0,0,0,0,0,57
Work,199900,201100,0,0,21,9,0,0,0,0,0,0,0,0,33
Work,126400,129500,0,0,9,0,0,0,0,0,0,0,0,0,12
Work,330100,329300,0,0,9,0,0,0,0,0,0,6,0,0,18
Work,119600,116100,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,325000,324000,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,321100,334200,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,165500,164300,0,0,12,9,0,0,0,0,0,0,0,0,21
Work,114500,123500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,251100,251600,0,0,0,0,0,9,0,0,0,27,0,0,51
Work,129900,140200,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,160400,150200,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,148800,149800,0,0,9,0,0,0,0,0,0,0,0,0,9
Work,130000,125100,0,0,15,9,0,0,0,0,0,0,0,0,24
Work,232100,250900,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,248700,250700,0,0,48,0,9,24,0,0,0,0,0,0,93
Work,249600,252500,0,0,0,0,0,0,0,0,0,0,0,0,6
Work,172100,176300,0,0,60,9,0,0,0,0,0,0,0,0,72
Work,231700,231200,0,0,6,0,0,0,0,0,0,0,0,0,9
Work,127300,137700,0,0,6,0,0,0,0,0,0,0,0,0,9
