type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,109200,109200,414,0,39,12,9,0,0,0,0,12,0,15,498
Work,109300,109300,189,0,666,132,63,0,0,0,9,111,0,0,1176
Work,109400,109400,363,0,150,27,27,0,0,0,6,27,0,27,630
Work,109500,109500,234,0,42,15,0,0,0,0,0,6,0,6,309
Work,109600,109600,57,0,99,27,6,0,0,0,0,18,0,0,210
Work,109700,109700,255,0,96,30,6,0,0,0,0,15,0,0,408
Work,109800,109800,282,0,42,18,0,0,0,0,0,0,0,0,348
Work,109900,109900,198,0,90,18,6,0,0,0,0,9,0,0,321
Work,110100,110100,78,0,30,0,0,0,0,0,0,9,0,0,126
Work,110200,110200,204,0,27,15,0,0,0,0,0,0,0,15,267
Work,110400,110400,531,0,132,27,9,0,0,0,0,21,0,12,735
Work,110500,110500,72,0,120,24,12,0,0,0,0,33,0,0,264
Work,110700,110700,327,0,63,18,0,0,0,0,0,0,0,9,429
Work,110800,110800,213,0,21,12,0,0,0,0,0,0,0,0,258
Work,110900,110900,213,0,42,12,6,0,0,0,0,21,0,6,297
Work,111100,111100,132,0,117,33,0,0,0,0,0,21,0,0,312
Work,111200,111200,387,0,69,21,12,0,0,0,0,0,0,0,495
Work,111300,111300,183,0,180,27,27,0,0,0,0,63,0,0,483
Work,111400,111400,165,0,0,0,0,0,0,0,0,0,0,0,180
Work,111500,111500,276,0,66,30,0,0,0,0,0,9,0,0,390
Work,111600,111600,216,0,36,15,0,0,0,0,0,0,0,0,273
Work,111700,111700,189,0,102,12,9,0,0,0,0,30,0,0,342
Work,111800,111800,120,0,108,24,0,0,0,0,0,21,0,6,288
Work,111900,111900,114,0,15,0,0,0,0,0,0,0,0,0,138
Work,112100,112100,186,0,9,6,0,0,0,0,0,0,0,0,207
Work,112200,112200,39,0,12,0,0,0,0,0,0,18,0,0,78
Work,112300,112300,129,0,15,12,0,0,0,0,0,0,0,0,159
Work,112400,112400,105,0,156,27,9,0,0,0,0,57,0,0,357
Work,112500,112500,147,0,15,9,0,0,0,0,0,0,0,0,171
Work,112600,112600,195,0,21,12,0,0,0,0,0,0,0,0,234
Work,112700,112700,237,0,27,9,0,0,0,0,0,18,0,0,300
